"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$11,585,807,091","3.77%","10.94","1.10","3.20","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$11,575,851,453","0.00%","29.06","4.91","18.71","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$11,379,180,278","2.87%","17.98","1.03","3.54","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$11,334,859,547","0.00%","5.88","0.59","0.89","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$11,330,861,390","4.09%","7.84","0.71","1.13","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$11,316,243,896","5.34%","20.20","3.86","1.89","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$11,304,098,038","3.68%","12.33","1.40","3.01","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$11,262,870,709","5.04%","5.92","1.30","0.97","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$11,127,363,414","0.72%","14.98","2.15","1.59","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$11,122,597,879","6.87%","7.55","0.96","2.88","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$10,672,675,659","3.97%","13.15","8.93","1.69","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$10,672,303,268","0.00%","-89.37","3.69","0.89","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$10,657,173,509","2.76%","4.95","1.15","2.22","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$10,653,022,800","5.40%","7.57","0.91","24.04","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$10,543,454,908","0.00%","26.14","2.90","4.23","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$10,485,765,964","3.59%","15.76","2.01","1.45","Analyze"
"NRG","NRG Energy Inc","Common stocks","Large cap","Utilities","$10,353,528,662","3.14%","2.56","0.39","2.04","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$10,297,659,756","2.34%","17.63","1.20","-26.08","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$10,283,766,809","0.62%","19.33","3.65","2.48","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Large cap","Industrials","$10,260,178,826","1.82%","18.20","1.04","3.46","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$10,168,296,846","0.00%","8.70","0.32","1.91","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$10,069,996,585","0.00%","-1.04","2.87","0.95","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Large cap","Information Technology","$10,032,011,216","2.67%","28.53","2.08","2.27","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$10,017,592,431","0.00%","-116.11","9.25","4.53","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Mid cap","Consumer Staples","$9,950,761,255","3.00%","9.24","0.75","0.73","Analyze"
"NWS","News Corp Class B","Common stocks","Mid cap","Communication Services","$9,898,286,889","1.16%","6.51","0.97","0.39","Analyze"
"NWSA","News Corp Class A","Common stocks","Mid cap","Communication Services","$9,898,286,889","1.17%","12.71","0.97","0.75","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Mid cap","Health Care","$9,764,871,735","0.00%","14.97","0.77","2.69","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$9,701,820,246","1.39%","8.50","4.47","1.07","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$9,517,966,990","0.00%","-15.48","0.95","2.44","Analyze"
"EMN","Eastman Chemical","Common stocks","Mid cap","Materials","$9,464,839,912","3.81%","11.18","0.88","1.55","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,360,744,232","1.48%","19.21","3.23","12.12","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$9,209,883,628","3.82%","8.83","3.34","1.23","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$9,185,398,899","3.29%","4.62","0.48","0.40","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$9,170,101,516","0.00%","-3.75","0.26","-1.00","Analyze"
"PHM","Pultegroup Inc","Common stocks","Mid cap","Consumer Discretionary","$9,067,225,015","1.50%","4.06","0.63","1.14","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$8,984,297,616","4.21%","22.62","1.39","2.78","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Mid cap","Financials","$8,979,016,863","1.17%","35.57","13.02","8.42","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$8,928,179,770","0.00%","8.26","1.92","1.87","Analyze"
"CTLT","Catalent Inc","Common stocks","Mid cap","Health Care","$8,910,245,462","0.00%","15.67","1.89","1.64","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$8,736,283,128","1.81%","12.65","0.59","1.21","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$8,677,709,510","2.91%","10.71","0.43","0.74","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$8,609,119,376","0.00%","23.01","3.24","3.36","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,390,191,789","2.14%","11.87","1.22","5.36","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,155,544,947","3.17%","30.92","8.24","3.05","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$7,801,266,635","2.18%","6.20","0.82","-4.95","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$7,784,318,867","3.23%","8.38","1.17","2.87","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,765,827,664","2.97%","7.38","2.81","1.15","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$7,717,691,945","0.00%","-11.49","1.93","-22.43","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$7,709,939,440","0.68%","7.85","0.60","1.25","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$7,699,681,441","1.82%","8.09","0.99","2.44","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$7,692,571,853","13.01%","2.78","0.40","0.49","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$7,665,488,008","6.14%","12.91","1.97","1.31","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$7,483,691,489","4.77%","4.23","0.35","1.54","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Mid cap","Industrials","$7,321,406,295","0.00%","12.56","1.80","2.80","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$7,167,295,808","2.01%","4.85","0.70","1.31","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$7,078,868,454","4.53%","5.18","1.03","0.45","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$7,075,124,937","0.00%","-1.74","6.06","4.75","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$6,974,730,210","1.97%","12.19","1.79","2.64","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$6,927,082,945","2.07%","13.55","1.85","3.81","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$6,711,764,821","4.19%","5.06","1.05","-5.27","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$6,678,998,236","1.56%","15.67","1.59","1.18","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,625,050,241","0.00%","-9.69","0.40","1.24","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$6,450,988,937","1.79%","11.02","1.13","31.59","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$6,295,287,000","0.00%","6.84","0.54","7.32","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,041,451,103","0.00%","5.37","0.52","0.67","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$5,613,608,004","0.00%","11.86","0.80","1.52","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$5,525,696,000","6.77%","7.33","0.52","1.32","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$4,448,228,902","8.92%","29.10","2.69","0.70","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$4,395,557,577","0.00%","1.81","0.25","0.25","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$4,191,853,656","3.04%","8.11","0.70","1.49","Analyze"
